,Age,Gender,Marital Status,Occupation,Monthly Salary,Educational Qualifications,Family size,Pin code,Output,Age (Month)
0,20,F,Single,Student,No Income,Post Graduate,Large,560001,1.0,20
1,24,F,Single,Student,Below Rs.10000,Graduate,Small,560009,1.0,24
2,22,M,Single,Student,Below Rs.10000,Post Graduate,Small,560017,1.0,22
3,22,F,Single,Student,No Income,Graduate,Large,560019,1.0,22
4,22,M,Single,Student,Below Rs.10000,Post Graduate,Large,560010,1.0,22
5,27,F,Married,Employee,More than 50000,Post Graduate,Small,560103,1.0,27
6,22,M,Single,Student,No Income,Graduate,Small,560009,1.0,22
7,24,F,Single,Student,No Income,Post Graduate,Small,560042,1.0,24
8,23,F,Single,Student,No Income,Post Graduate,Small,560001,1.0,23
9,23,F,Single,Student,No Income,Post Graduate,Large,560048,1.0,23
10,22,F,Single,Student,No Income,Post Graduate,Large,560010,1.0,22
11,23,M,Single,Student,Below Rs.10000,Post Graduate,Small,560009,1.0,23
12,23,M,Single,Student,No Income,Post Graduate,Large,560078,1.0,23
13,21,M,Single,Student,No Income,Graduate,Large,560009,1.0,21
14,23,F,Single,Self Employeed,10001 to 25000,Post Graduate,Large,560004,1.0,23
15,24,F,Single,Student,No Income,Post Graduate,Large,560068,1.0,24
16,28,F,Single,Employee,25001 to 50000,Post Graduate,Small,560038,1.0,28
17,23,F,Single,Student,No Income,Graduate,Small,560008,1.0,23
18,25,M,Single,Student,No Income,Graduate,Large,560078,1.0,25
19,21,F,Single,Student,Below Rs.10000,Post Graduate,Small,560038,1.0,21
20,24,M,Single,Student,No Income,Post Graduate,Small,560009,1.0,24
21,22,M,Single,Student,No Income,Post Graduate,Large,560032,1.0,22
22,22,F,Single,Student,No Income,Graduate,Large,560033,1.0,22
23,23,M,Single,Student,No Income,Graduate,Large,560021,1.0,23
24,21,M,Single,Student,Below Rs.10000,Post Graduate,Small,560085,1.0,21
25,25,M,Single,Student,No Income,Post Graduate,Small,560008,1.0,25
26,22,F,Single,Student,No Income,Post Graduate,Large,560050,1.0,22
27,22,M,Single,Student,No Income,Post Graduate,Small,560098,1.0,22
28,23,F,Single,Employee,10001 to 25000,Graduate,Small,560048,1.0,23
29,22,M,Single,Student,Below Rs.10000,Post Graduate,Large,560003,1.0,22
30,22,F,Single,Employee,10001 to 25000,Graduate,Large,560066,1.0,22
31,22,M,Single,Student,No Income,Post Graduate,Large,560038,1.0,22
32,25,M,Married,Employee,More than 50000,Ph.D,Large,560034,1.0,25
33,22,F,Single,Student,10001 to 25000,Post Graduate,Large,560010,1.0,22
34,22,F,Single,Student,No Income,Post Graduate,Small,560102,1.0,22
35,25,M,Single,Student,10001 to 25000,Post Graduate,Small,560085,1.0,25
36,25,M,Single,Student,No Income,Post Graduate,Large,560009,0.0,25
37,32,F,Prefer not to say,House wife,No Income,Graduate,Large,560008,1.0,32
38,23,F,Single,Student,No Income,Post Graduate,Small,560004,1.0,23
